EDGE ID;V1;V2;DIST;DIRECTED (v1 -> v2);TYPE;NAME;MAX_SPEED;X1;Y1;X2;Y2;Square 1;Square 2;Square mid
e10525;7866;7867;50,06815355;TRUE;busway;Koningin Emmaplein;5;43649;47502;43228;47231;E1755N3175;E1750N3175;E1755N3175
e10940;4982;4985;121,1480499;TRUE;residential;Statensingel;30;46296;49361;47289;50055;E1755N3175;E1755N3180;E1755N3180
e10939;8170;4982;19,33416665;TRUE;residential;Statensingel;30;46137;49251;46296;49361;E1755N3175;E1755N3175;E1755N3175
e10950;8181;8182;6,935416354;FALSE;service;undefined;30;75025;19083;75072;19134;E1775N3145;E1775N3145;E1775N3145
e11163;8320;3405;24,47549795;TRUE;residential;Pergamijndonk;30;33850;61288;33939;61060;E1745N3190;E1745N3190;E1745N3190
e10859;8097;541;54,1939111;FALSE;residential;Gronsvelderweg;30;76946;23632;76409;23705;E1775N3150;E1775N3150;E1775N3150
e10858;5435;8095;82,64441905;TRUE;secondary;Via Regia;50;37056;47076;37773;46665;E1750N3175;E1750N3175;E1750N3175
e10854;4227;4240;39,34107268;TRUE;tertiary;Maastrichterlaan;80;91330;88474;91406;88860;E1785N3220;E1785N3220;E1785N3220
e10955;2232;2233;173,2004619;FALSE;residential;Veldwezeltstraat;30;14813;45076;16545;45072;E1735N3175;E1735N3175;E1735N3175
e11032;222;207;45,76647244;FALSE;residential;Putstraat;30;130040;5070;129929;4626;E1815N3130;E1815N3130;E1815N3130
e11036;8244;4497;6,815423685;FALSE;steps;Boschcour;5;70110;42828;70093;42894;E1770N3170;E1770N3170;E1770N3170
e11047;7352;8252;216,4419553;TRUE;trunk_link;undefined;80;80916;58095;79190;56789;E1780N3185;E1775N3185;E1780N3185
e11044;3110;3132;167,7727332;FALSE;tertiary;Clavecymbelstraat;50;32909;57277;34521;57742;E1745N3185;E1745N3185;E1745N3185
e10790;8049;8048;15,68470593;FALSE;service;undefined;5;49101;45093;49000;45213;E1755N3175;E1755N3175;E1755N3175
e10788;2734;4380;25,3148178;TRUE;residential;Van Hasseltkade;30;59628;50692;59856;50582;E1765N3180;E1765N3180;E1765N3180
e10561;4821;1678;13,64441278;FALSE;primary;Akersteenweg;50;101399;40546;101263;40557;E1795N3170;E1795N3170;E1795N3170
e10653;7945;7946;6,419501538;FALSE;service;Hoge Kanaaldijk;5;60474;31005;60410;31000;E1765N3155;E1765N3155;E1765N3155
e10642;7940;7941;125,6444587;FALSE;pedestrian;Polvertorenplein;5;49993;43868;48815;43431;E1755N3170;E1755N3170;E1755N3170
e10649;5396;5397;29,95062604;FALSE;unclassified;Lage Weerd;15;68795;24383;69093;24413;E1770N3150;E1770N3150;E1770N3150
e10641;7939;7940;32,20077639;FALSE;pedestrian;Polvertorenplein;5;49813;44135;49993;43868;E1755N3170;E1755N3170;E1755N3170
e10766;1123;1122;115,0125645;TRUE;tertiary;Johan Willem Beyenlaan;50;76628;35075;75478;35092;E1775N3160;E1775N3160;E1775N3160
e10767;8032;8033;39,10818329;FALSE;service;undefined;5;71400;41124;71023;41228;E1770N3170;E1770N3170;E1770N3170
e10992;8208;8209;59,96282181;FALSE;tertiary;Rijksweg;30;96553;9347;96326;9902;E1790N3135;E1790N3135;E1790N3135
e11008;8223;8217;59,89499144;FALSE;service;undefined;5;90614;76735;91085;77105;E1785N3205;E1785N3205;E1785N3205
e11016;8226;8222;17,84432683;FALSE;service;undefined;5;90898;76590;90739;76671;E1785N3205;E1785N3205;E1785N3205
e11004;3831;3854;100,785366;FALSE;service;undefined;5;90982;73951;90182;74564;E1785N3205;E1785N3205;E1785N3205
e10979;8206;1977;110,9977477;FALSE;tertiary;Sint Antoniusbank;30;129533;42039;129878;43094;E1810N3170;E1815N3170;E1815N3170
e10981;6267;1984;16,04618335;FALSE;residential;Kersenwei;30;127056;43194;127204;43132;E1810N3170;E1810N3170;E1810N3170
e10980;2101;2135;136,9026296;FALSE;residential;Schepenbank;30;126434;43949;125111;44301;E1810N3170;E1810N3170;E1810N3170
