Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median
E1725N3160,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,3676.249942,33402.28,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1725N3170,175,95.0,80.0,15.0,30.0,15.0,70.0,45.0,70.0,10.0,30.0,0.0,25.0,70.0,100.0,0.0,0.0,0.0,409.0,4.0,60-80 above middle,,,"1,5",3676.249942,42640.61,54.285714285714285,45.714285714285715,8.571428571428571,17.142857142857142,8.571428571428571,40.0,25.71428571428571,14.285714285714285,42.857142857142854,0.0,35.714285714285715,1.0,2.5,2.5,70.0
E1725N3180,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,3676.249942,51878.94,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1725N3185,3,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,3676.249942,56498.105,66.66666666666666,33.33333333333333,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1725N3190,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,3676.249942,61117.27,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1725N3195,3,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,3676.249942,65736.435,66.66666666666666,33.33333333333333,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1730N3150,3,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,10871.16661,24163.95,66.66666666666666,33.33333333333333,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1730N3155,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,10871.16661,28783.115,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1730N3160,435,200.0,230.0,45.0,30.0,75.0,120.0,160.0,220.0,75.0,85.0,20.0,40.0,215.0,20.0,80.0,80.0,0.0,179.0,3.0,20-60 below middle to middle,53.0,7.0,"0,5",10871.16661,33402.28,45.97701149425287,52.87356321839081,10.344827586206897,6.896551724137931,17.24137931034483,27.586206896551722,36.7816091954023,34.090909090909086,38.63636363636363,9.090909090909092,18.181818181818183,1.0232558139534884,2.0232558139534884,1.9772727272727273,40.0
E1730N3165,1815,900.0,915.0,210.0,210.0,375.0,565.0,455.0,950.0,440.0,240.0,85.0,185.0,925.0,50.0,50.0,425.0,15.0,172.0,2.0,20-60 below middle to middle,51.0,11.0,"0,6",10871.16661,38021.445,49.586776859504134,50.413223140495866,11.570247933884298,11.570247933884298,20.66115702479339,31.129476584022036,25.068870523415974,46.31578947368421,25.263157894736842,8.947368421052632,19.473684210526315,1.027027027027027,1.962162162162162,1.9105263157894736,40.0
