NODE ID;X;Y;SQUARE
1;95180;26103;E1790N3150
2;14788;23125;E1735N3150
3;33521;14383;E1745N3140
4;7226;28201;E1725N3155
5;100694;33020;E1790N3160
6;94877;40098;E1790N3165
7;82379;21745;E1780N3145
8;60504;47182;E1765N3175
9;44067;78635;E1755N3210
10;44197;78292;E1755N3210
11;42610;79283;E1750N3210
12;41332;79651;E1750N3210
13;43928;81269;E1755N3210
14;41608;80627;E1750N3210
15;39858;82454;E1750N3215
16;39975;82834;E1750N3215
17;40810;82813;E1750N3215
18;40971;84148;E1750N3215
19;41465;85114;E1750N3215
20;39347;82850;E1750N3215
21;39332;82466;E1750N3215
22;40094;79960;E1750N3210
23;39222;80241;E1750N3210
24;42499;82500;E1750N3215
25;42269;82043;E1750N3215
26;44395;85180;E1755N3215
27;41867;85872;E1750N3215
28;42011;86130;E1750N3215
29;37632;86962;E1750N3220
30;37104;86134;E1750N3215
31;35546;86627;E1745N3220
32;34014;84980;E1745N3215
33;35093;84625;E1745N3215
34;37549;85302;E1750N3215
35;37944;84431;E1750N3215
36;38491;83756;E1750N3215
37;35532;83405;E1745N3215
38;35152;83760;E1745N3215
39;35208;83374;E1745N3215
40;34521;82895;E1745N3215
41;33881;81793;E1745N3210
42;39527;78837;E1750N3210
43;39465;80174;E1750N3210
44;39970;80001;E1750N3210
45;40069;80146;E1750N3210
46;39592;86349;E1750N3215
47;39604;86555;E1750N3220
48;59490;53407;E1765N3180
49;32618;82312;E1745N3215
50;28762;86550;E1740N3220
51;26816;87889;E1740N3220
52;48156;86851;E1755N3220
53;47938;87565;E1755N3220
54;42179;79434;E1750N3210
55;42318;79392;E1750N3210
56;41440;79623;E1750N3210
57;39285;81183;E1750N3210
58;38077;81228;E1750N3210
59;96060;61872;E1790N3190
60;94099;46881;E1790N3175
61;65039;44186;E1770N3170
62;43995;76201;E1755N3205
63;42474;79339;E1750N3210
64;41101;79706;E1750N3210
65;41227;79291;E1750N3210
67;41503;80090;E1750N3210
68;64049;44628;E1765N3170
69;67545;43983;E1770N3170
70;53676;60069;E1760N3190
71;53866;60253;E1760N3190
72;86199;42065;E1780N3170
73;86285;42159;E1780N3170
74;35571;80707;E1745N3210
75;34607;80663;E1745N3210
