node_id,nearest_service_point,distance_to_service_point
1,931,653.8376577039999
2,4356,1156.38351704
3,6765,1821.1067699050002
4,4356,685.649692555
5,1204,519.59409184
6,1204,653.588857
7,753,1615.1118091499998
8,4431,714.9998922569999
9,3155,2491.548710013
10,3155,2454.867788543
11,3343,2385.7996571030003
12,3343,2252.6597924330003
13,3343,2624.1548542029996
14,3343,2354.4895435030003
15,3343,2399.827787433
16,3343,2439.5881948730002
17,3343,2438.907759904
18,3343,2573.3750793039994
19,3343,2681.8735586039998
20,3343,2385.6433867130004
21,3343,2347.214101003
22,3343,2125.060071973
23,3343,2124.3411677030003
24,3343,2561.9192176429997
25,3343,2510.757806403
26,3343,2890.205921643
27,3343,2767.673791704
28,3343,2797.220365114
29,3343,2888.007664114
30,3343,2789.805423814
31,3343,2953.219407314
32,3343,2999.1634072439997
33,3343,2885.573530944
34,3343,2695.452416444
35,3343,2599.8142441439995
36,3343,2512.9330609139997
37,3343,2810.9075900139997
38,3343,2862.909993804
39,3343,2843.455554624
40,3343,2820.9329802529996
41,3343,2693.3568371829997
42,3343,1999.257925773
43,3343,2149.5479128330003
44,3343,2138.1203169930004
45,3343,2155.6776516430004
46,3343,2736.4539487439997
47,3343,2757.088870604
48,3155,771.359859685
49,3343,2829.9046309829996
50,3343,3418.3535392329995
51,3343,3654.5703252329986
52,3343,3332.0335567629995
53,3343,3346.4947633129996
54,3343,2340.095421393
55,3343,2354.616096313
56,3343,2263.816852973
57,3343,2218.7536919530003
58,3343,2339.637778533
59,5820,209.83959566
60,2155,662.2363119500001
61,4987,275.43617441000004
62,3155,2270.749812553
63,3343,2371.091836053
64,3343,2228.9140559730004
65,3343,2272.284668143
67,3343,2299.772635693
68,4987,364.315023507
69,4987,9.831073187
70,3155,260.70072919999996
71,3155,263.94455702
72,2155,725.4203286669999
73,2155,489.6649587190001
74,3343,2492.4576162129997
75,3343,2588.9579789029995
76,3343,2637.2765376129996
77,3343,4967.496105663001
78,3343,3687.1999495829987
80,3343,3758.306621793999
81,3343,3570.7809168939993
82,3343,3300.3436967939997
83,3343,3228.0150488139993
84,3343,3082.185483823999
85,3343,3217.9484098639996
86,3343,2976.715004274
87,3343,2953.344724004
88,3343,2691.392066304
89,6765,1776.7357803749999
90,6765,1440.4837373750001
91,6765,1318.6640492450001
92,6765,1213.467032145
93,6765,1320.090831945
94,6765,1407.823909817
95,4356,1084.7484425100001
96,4356,832.72899881
97,8282,988.597153455
98,4387,658.3369120619999
99,3513,595.4829840900001
100,4356,5415.00684151
101,4356,6224.22899271
102,4356,6582.445379809999
103,3343,3612.925593312999
104,3343,2958.960799313
105,3343,2913.759803753
108,3343,2641.385666714
109,3155,812.801746483
110,6765,700.152196185
111,6765,679.217774765
112,6765,497.35112783
113,4356,1134.629587052
114,4356,4005.4514557019997
115,6908,1898.644956433
116,6908,1641.225010773
121,4356,6318.80647417
122,4356,4078.2278025100004
123,4356,403.930185535
124,4356,665.259498835
125,6765,1537.659390575
126,6765,1550.891548375
127,6765,1442.167977345
128,6765,1387.923346275
129,6765,1488.220230275
130,6765,1688.5262598250001
131,6765,1767.204973595
132,6765,1577.4935910750003
133,6765,1742.7025438749997
134,6765,1624.2964629750002
135,6765,1648.191735565
136,6765,1402.5489248650001
137,6765,1421.642902975
138,6765,434.50250685000003
139,6765,343.64630178
140,6765,332.71454690999997
141,6765,937.0596139099999
142,6765,3129.5291090100004
143,6765,2717.8642729099997
144,4356,1667.718907247
145,4356,1590.252785617
146,4356,1482.336783917
147,4356,1347.594846617
148,4356,1089.803458117
149,4356,1488.9378152670001
150,4356,1301.154296267
151,4356,954.075605417
152,4356,1289.585042017
153,4356,1028.0080585810001
154,6765,1594.9427391140002
155,6765,941.91525149
156,6765,1216.09128979
157,6765,1297.76901013
158,4356,1590.750251717
159,6765,2490.6086273840006
160,6765,2009.6987751749998
161,6765,2515.5178347650003
162,6765,2414.1254266140004
163,6765,1742.123253175
164,6765,447.51110610999996
165,6765,233.1436038
166,6765,1441.7698476099997
167,4356,1993.6228348470004
168,4356,2275.9195758470005
169,4356,2146.4209960170006
170,4356,1945.299937917
171,4356,1352.214674781
172,4356,1399.704820465
173,4356,1254.3741629649999
174,4356,839.130517652
175,6765,1837.173023845
176,6765,1809.238183335
182,753,3408.3354248170003
183,284,871.7594786
184,753,3140.2243827000007
185,753,3211.5986777900007
186,753,3378.3545976070004
187,753,3369.9540023900004
188,284,947.0974787800001
189,284,845.75005723
190,284,662.43330596
191,284,585.84864692
192,284,1637.35019695
193,284,828.4981317599999
194,284,1449.40975006
195,284,1584.95744936
196,284,915.44404377
197,284,788.92752649
198,284,793.784548253
199,657,3281.029029342
200,657,3092.051342502
201,657,3071.002841872
202,657,3054.095447042
203,284,770.395662133
204,284,786.59441814
205,284,748.299056063
206,753,3475.4012358770005
207,657,3343.7610108890003
208,284,666.6975242130001
209,284,658.54829112
210,284,718.6300869900001
211,284,2169.08069543
212,284,2094.83859147
213,284,2363.7619105800004
214,284,2321.26955833
215,284,828.1355676600001
216,284,703.05733243
217,284,748.59441814
218,284,704.59441814
219,284,440.88485832000003
220,284,706.981818897
221,284,1276.78055206
222,657,3389.527483329
223,284,621.316941967
224,284,900.09474586
225,284,846.27066272
226,284,780.1978998
227,284,732.7045318400001
228,284,691.6228277800001
229,657,3441.523252389
230,284,367.69181403000005
231,284,1204.37889462
232,284,429.90821058
233,284,685.3231008800001
234,284,468.90179980000005
235,657,3213.46455498
236,284,1177.36038245
237,284,484.00213092
238,657,2869.139124696
239,284,659.3132979
240,284,576.04158533
241,284,579.040426097
242,657,2860.29322169
243,284,634.3132979
244,284,489.77117046700005
245,657,2836.1327940300002
246,284,587.6228277800001
247,284,545.5158212399999
248,284,538.5158212399999
249,284,433.14387641
250,284,512.47272503
251,284,560.35586481
252,657,2815.10305319
253,284,413.43232923000005
254,284,280.2336526
255,284,422.65187368700003
256,284,368.51803019000005
257,284,197.66919292999998
258,284,470.45746393
259,284,785.59835098
260,284,541.67771085
261,284,326.31746253
262,284,410.346538
263,284,538.8019777
264,284,282.58497485000004
265,284,426.58553045
266,284,262.505238
267,284,89.52253323
268,284,1986.0213168399996
269,284,1751.2728163399997
270,284,920.55179615
271,284,811.40803775
272,284,746.1742275
273,284,1961.0213168399996
274,284,1727.2311857799998
275,284,39.94058087
276,284,556.14512763
277,284,617.5960023199999
278,284,300.92112793
279,284,628.56185842
280,284,165.22525667
281,284,201.73635087
282,284,1385.9669615
283,284,1460.06810859
284,284,0
285,284,682.5274839
286,284,335.53124206
287,284,210.21347734999998
288,284,477.00950896
289,284,249.09496395
290,284,282.19738078
291,284,296.07289879
292,284,1876.4370393399997
293,284,1636.6086168499999
294,284,418.84570659
295,1026,2870.1741352539993
296,284,379.80849457
297,284,418.09687401
298,284,481.41235395
299,284,462.16970375
300,753,2321.6948708
301,284,505.14713969
302,284,562.75269498
303,284,1622.54077592
304,284,2322.4094082799993
305,284,1770.8910099199998
306,284,1853.4984892799998
307,284,1817.4962671299998
308,284,1622.51968522
309,284,599.6103600499999
310,284,1822.5500667899998
311,284,1490.9558224200002
312,284,1480.8751478400002
313,284,1731.1760726599998
314,284,1403.7128513500002
315,284,1347.88131904
316,284,1276.26421215
317,284,1264.8055909400002
318,753,2165.100071118
319,284,477.27886261000003
320,284,512.49945318
321,284,631.05093574
322,284,653.77735209
323,284,669.47480411
324,284,732.7232304400001
325,284,748.93495459
326,284,712.4172074
327,284,760.8721589300001
328,284,722.13420282
329,753,1932.8592909179997
330,284,737.4916114600001
331,284,1608.10537895
332,6765,1884.9661834449998
333,6765,1911.1365283549999
334,6765,1916.837173385
335,284,1971.4006342599996
336,6765,1926.081631184
337,284,1885.0157669399996
338,1026,2101.6486613310003
339,1026,2089.4646554210003
340,6765,2221.7282166150003
341,417,615.1314198
342,753,1540.1080085499998
343,753,1663.3928687359996
344,1258,2351.5874801239997
345,753,1682.2409455559996
346,417,591.1194109599999
347,657,1663.0715857900002
348,753,1940.5575743699994
349,753,1506.4584002479996
350,753,1642.9221763059998
351,753,1593.6710099179995
352,753,1452.8179343979998
353,753,1672.2596952579995
354,417,543.6115168800001
355,753,1556.7209582159999
356,753,1524.3248492479995
357,753,1541.305057336
358,417,511.84675653
359,284,2061.5659581399996
360,753,1972.5925347389998
361,417,558.4622046100001
362,753,1484.3213858479996
363,753,1535.0218732499998
364,417,561.32568787
365,753,1407.825046068
366,753,1431.3866958499998
367,657,1531.83157669
368,753,1833.6216589699993
369,753,1543.55087527
370,417,520.32568787
371,417,225.60455002
372,417,273.09791798
373,417,462.18792046
374,753,1588.1587891339998
375,417,363.57250583999996
376,417,572.45288047
377,753,1667.5014943499998
378,417,238.60330945
379,753,2042.2056643039998
380,753,1910.8914514399996
381,417,177.52856849
382,417,155.96969810000002
383,417,205.61846445
384,417,105.10619625999999
385,417,504.82892022
386,417,299.66632460999995
387,417,165.78363037
388,417,515.12455036
389,417,445.14642697
390,417,309.20197183000005
391,417,545.20776827
392,417,151.49748836
393,753,1766.2960267299998
394,753,1155.1453275300003
395,417,550.12455036
396,417,107.13323631
397,753,1770.3776930559998
398,417,134.44228388
399,753,1145.122296318
400,417,688.84016497
401,417,401.54596826
402,753,1306.5276553500003
403,753,1123.9157898400001
404,417,263.98029561
405,417,46.09772229
406,417,63.127108660000005
407,417,102.45572419999999
408,753,1255.7623325280001
409,753,1884.4108461559997
410,417,63.06227081
411,753,1241.7052147400002
412,6765,2436.5077486920004
413,753,1150.19000795
414,417,355.50587704
415,417,266.20027811
416,753,1071.7753946
417,417,0
418,1258,2096.452610224
419,417,479.22266023
420,1258,1917.993857169
421,753,1052.34706477
422,657,1381.38736779
423,753,1075.14728407
424,753,1184.7409276800001
425,417,261.2232679
426,753,1287.2451351580003
427,753,1253.3449876680002
428,753,1876.0623623309998
429,417,397.22266023
430,753,1200.3619715180002
431,753,1347.8048663699997
432,753,1320.0868217099996
433,753,1174.5307888080001
434,417,33.0
435,417,422.31807814
436,417,609.09007549
437,753,1163.2947158900001
438,753,1035.81539257
439,417,523.31449621
440,753,1102.2947158900001
441,753,1245.8507584300003
442,753,983.9760182699999
443,417,211.4495727
444,417,186.30793732
