node_id,x,y,square,nearest_service_point,population
1,95180.0,26103.0,E1790N3150,931,100
2,14788.0,23125.0,E1735N3150,4356,2
3,33521.0,14383.0,E1745N3140,6765,2
4,7226.0,28201.0,,4356,NA
5,100694.0,33020.0,E1790N3160,1204,975
6,94877.0,40098.0,E1790N3165,1204,1560
7,82379.0,21745.0,E1780N3145,753,95
8,60504.0,47182.0,E1765N3175,4431,1615
9,44067.0,78635.0,E1755N3210,3155,355
10,44197.0,78292.0,E1755N3210,3155,355
11,42610.0,79283.0,E1750N3210,3343,60
12,41332.0,79651.0,E1750N3210,3343,60
13,43928.0,81269.0,E1755N3210,3343,355
14,41608.0,80627.0,E1750N3210,3343,60
15,39858.0,82454.0,E1750N3215,3343,2
16,39975.0,82834.0,E1750N3215,3343,2
17,40810.0,82813.0,E1750N3215,3343,2
18,40971.0,84148.0,E1750N3215,3343,2
19,41465.0,85114.0,E1750N3215,3343,2
20,39347.0,82850.0,E1750N3215,3343,2
21,39332.0,82466.0,E1750N3215,3343,2
22,40094.0,79960.0,E1750N3210,3343,60
23,39222.0,80241.0,E1750N3210,3343,60
24,42499.0,82500.0,E1750N3215,3343,2
25,42269.0,82043.0,E1750N3215,3343,2
26,44395.0,85180.0,E1755N3215,3343,2
27,41867.0,85872.0,E1750N3215,3343,2
28,42011.0,86130.0,E1750N3215,3343,2
29,37632.0,86962.0,,3343,NA
30,37104.0,86134.0,E1750N3215,3343,2
31,35546.0,86627.0,,3343,NA
32,34014.0,84980.0,,3343,NA
33,35093.0,84625.0,,3343,NA
34,37549.0,85302.0,E1750N3215,3343,2
35,37944.0,84431.0,E1750N3215,3343,2
36,38491.0,83756.0,E1750N3215,3343,2
37,35532.0,83405.0,,3343,NA
38,35152.0,83760.0,,3343,NA
39,35208.0,83374.0,,3343,NA
40,34521.0,82895.0,,3343,NA
41,33881.0,81793.0,E1745N3210,3343,2
42,39527.0,78837.0,E1750N3210,3343,60
43,39465.0,80174.0,E1750N3210,3343,60
44,39970.0,80001.0,E1750N3210,3343,60
45,40069.0,80146.0,E1750N3210,3343,60
46,39592.0,86349.0,E1750N3215,3343,2
47,39604.0,86555.0,,3343,NA
48,59490.0,53407.0,E1765N3180,3155,765
49,32618.0,82312.0,,3343,NA
50,28762.0,86550.0,,3343,NA
51,26816.0,87889.0,,3343,NA
52,48156.0,86851.0,E1755N3220,3343,2
53,47938.0,87565.0,E1755N3220,3343,2
54,42179.0,79434.0,E1750N3210,3343,60
55,42318.0,79392.0,E1750N3210,3343,60
56,41440.0,79623.0,E1750N3210,3343,60
57,39285.0,81183.0,E1750N3210,3343,60
58,38077.0,81228.0,E1750N3210,3343,60
59,96060.0,61872.0,E1790N3190,5820,1300
60,94099.0,46881.0,E1790N3175,2155,630
61,65039.0,44186.0,E1770N3170,4987,2785
62,43995.0,76201.0,E1755N3205,3155,65
63,42474.0,79339.0,E1750N3210,3343,60
64,41101.0,79706.0,E1750N3210,3343,60
65,41227.0,79291.0,E1750N3210,3343,60
67,41503.0,80090.0,E1750N3210,3343,60
68,64049.0,44628.0,E1765N3170,4987,450
69,67545.0,43983.0,E1770N3170,4987,2785
70,53676.0,60069.0,E1760N3190,3155,1150
71,53866.0,60253.0,E1760N3190,3155,1150
72,86199.0,42065.0,E1780N3170,2155,605
73,86285.0,42159.0,E1780N3170,2155,605
74,35571.0,80707.0,E1745N3210,3343,2
75,34607.0,80663.0,E1745N3210,3343,2
76,34347.0,81481.0,E1745N3210,3343,2
77,13759.0,77875.0,,3343,NA
78,24680.0,84553.0,,3343,NA
80,32833.0,88942.0,,3343,NA
81,34308.0,87784.0,,3343,NA
82,36718.0,89011.0,,3343,NA
83,37667.0,88468.0,,3343,NA
84,39077.0,88156.0,,3343,NA
85,37799.0,88614.0,,3343,NA
86,39739.0,88561.0,,3343,NA
87,39960.0,88485.0,,3343,NA
88,42151.0,84128.0,E1750N3215,3343,2
89,39096.0,13711.0,E1750N3140,6765,2
90,38198.0,11554.0,E1750N3135,6765,2
91,37081.0,11068.0,E1750N3135,6765,2
92,36912.0,10063.0,E1750N3135,6765,2
