node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square
1,95180.0,26103.0,E1790N3150,931,100.0,6.25,E1790N3150
2,14788.0,23125.0,E1735N3150,4356,2.0,2.0,E1735N3150
3,33521.0,14383.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
4,7226.0,28201.0,,4356,,0.3,E1725N3155
5,100694.0,33020.0,E1790N3160,1204,975.0,25.0,E1790N3160
6,94877.0,40098.0,E1790N3165,1204,1560.0,26.440677966101696,E1790N3165
7,82379.0,21745.0,E1780N3145,753,95.0,7.916666666666667,E1780N3145
8,60504.0,47182.0,E1765N3175,4431,1615.0,18.352272727272727,E1765N3175
9,44067.0,78635.0,E1755N3210,3155,355.0,35.5,E1755N3210
10,44197.0,78292.0,E1755N3210,3155,355.0,35.5,E1755N3210
11,42610.0,79283.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
12,41332.0,79651.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
13,43928.0,81269.0,E1755N3210,3343,355.0,35.5,E1755N3210
14,41608.0,80627.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
15,39858.0,82454.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
16,39975.0,82834.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
17,40810.0,82813.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
18,40971.0,84148.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
19,41465.0,85114.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
20,39347.0,82850.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
21,39332.0,82466.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
22,40094.0,79960.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
23,39222.0,80241.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
24,42499.0,82500.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
25,42269.0,82043.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
26,44395.0,85180.0,E1755N3215,3343,2.0,2.0,E1755N3215
27,41867.0,85872.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
28,42011.0,86130.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
29,37632.0,86962.0,,3343,,0.3,E1750N3220
30,37104.0,86134.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
31,35546.0,86627.0,,3343,,0.3,E1745N3220
32,34014.0,84980.0,,3343,,0.3,E1745N3215
33,35093.0,84625.0,,3343,,0.3,E1745N3215
34,37549.0,85302.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
35,37944.0,84431.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
36,38491.0,83756.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
37,35532.0,83405.0,,3343,,0.3,E1745N3215
38,35152.0,83760.0,,3343,,0.3,E1745N3215
39,35208.0,83374.0,,3343,,0.3,E1745N3215
40,34521.0,82895.0,,3343,,0.3,E1745N3215
41,33881.0,81793.0,E1745N3210,3343,2.0,0.125,E1745N3210
42,39527.0,78837.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
43,39465.0,80174.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
44,39970.0,80001.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
45,40069.0,80146.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
46,39592.0,86349.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
47,39604.0,86555.0,,3343,,0.3,E1750N3220
48,59490.0,53407.0,E1765N3180,3155,765.0,12.75,E1765N3180
49,32618.0,82312.0,,3343,,0.3,E1745N3215
50,28762.0,86550.0,,3343,,0.3,E1740N3220
51,26816.0,87889.0,,3343,,0.3,E1740N3220
52,48156.0,86851.0,E1755N3220,3343,2.0,0.6666666666666666,E1755N3220
53,47938.0,87565.0,E1755N3220,3343,2.0,0.6666666666666666,E1755N3220
54,42179.0,79434.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
55,42318.0,79392.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
56,41440.0,79623.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
57,39285.0,81183.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
58,38077.0,81228.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
59,96060.0,61872.0,E1790N3190,5820,1300.0,30.232558139534884,E1790N3190
60,94099.0,46881.0,E1790N3175,2155,630.0,9.0,E1790N3175
61,65039.0,44186.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
62,43995.0,76201.0,E1755N3205,3155,65.0,13.0,E1755N3205
63,42474.0,79339.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
64,41101.0,79706.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
65,41227.0,79291.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
67,41503.0,80090.0,E1750N3210,3343,60.0,1.7647058823529411,E1750N3210
68,64049.0,44628.0,E1765N3170,4987,450.0,7.258064516129032,E1765N3170
69,67545.0,43983.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
70,53676.0,60069.0,E1760N3190,3155,1150.0,25.0,E1760N3190
71,53866.0,60253.0,E1760N3190,3155,1150.0,25.0,E1760N3190
72,86199.0,42065.0,E1780N3170,2155,605.0,8.287671232876713,E1780N3170
73,86285.0,42159.0,E1780N3170,2155,605.0,8.287671232876713,E1780N3170
74,35571.0,80707.0,E1745N3210,3343,2.0,0.125,E1745N3210
75,34607.0,80663.0,E1745N3210,3343,2.0,0.125,E1745N3210
76,34347.0,81481.0,E1745N3210,3343,2.0,0.125,E1745N3210
77,13759.0,77875.0,,3343,,0.3,E1730N3210
78,24680.0,84553.0,,3343,,0.3,E1740N3215
80,32833.0,88942.0,,3343,,0.3,E1745N3220
81,34308.0,87784.0,,3343,,0.3,E1745N3220
82,36718.0,89011.0,,3343,,0.3,E1750N3220
83,37667.0,88468.0,,3343,,0.3,E1750N3220
84,39077.0,88156.0,,3343,,0.3,E1750N3220
85,37799.0,88614.0,,3343,,0.3,E1750N3220
86,39739.0,88561.0,,3343,,0.3,E1750N3220
87,39960.0,88485.0,,3343,,0.3,E1750N3220
88,42151.0,84128.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
89,39096.0,13711.0,E1750N3140,6765,2.0,0.3333333333333333,E1750N3140
90,38198.0,11554.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
91,37081.0,11068.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
92,36912.0,10063.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
93,35879.0,10327.0,,6765,,0.3,E1745N3135
94,36256.0,9537.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
95,13694.0,23333.0,E1730N3150,4356,2.0,0.1,E1730N3150
96,12826.0,25699.0,E1730N3150,4356,2.0,0.1,E1730N3150
97,29949.0,52605.0,E1745N3180,8282,1460.0,21.470588235294116,E1745N3180
98,55552.0,42829.0,E1760N3170,4387,1155.0,14.25925925925926,E1760N3170
99,28889.0,59101.0,,3513,,0.3,E1745N3190
100,6219.0,64145.0,E1725N3195,4356,2.0,2.0,E1725N3195
101,8979.0,71752.0,E1730N3200,4356,2.0,1.0,E1730N3200
102,10786.0,74845.0,E1730N3205,4356,2.0,2.0,E1730N3205
103,25298.0,84965.0,,3343,,0.3,E1740N3215
104,31429.0,82715.0,,3343,,0.3,E1745N3215
105,31881.0,82712.0,,3343,,0.3,E1745N3215
108,41651.0,84136.0,E1750N3215,3343,2.0,0.09090909090909091,E1750N3215
109,51796.0,64981.0,E1760N3195,3155,145.0,12.083333333333334,E1760N3195
110,37343.0,6585.0,,6765,,0.3,E1750N3130
111,37478.0,6745.0,,6765,,0.3,E1750N3130
112,36298.0,8055.0,,6765,,0.3,E1750N3135
113,5497.0,32288.0,E1725N3160,4356,2.0,0.6666666666666666,E1725N3160
114,3865.0,60909.0,E1725N3190,4356,2.0,2.0,E1725N3190
115,3356.0,57460.0,E1725N3185,6908,2.0,0.25,E1725N3185
116,5916.0,57190.0,E1725N3185,6908,2.0,0.25,E1725N3185
121,9798.0,72225.0,E1730N3200,4356,2.0,1.0,E1730N3200
122,4638.0,50902.0,E1725N3180,4356,2.0,2.0,E1725N3180
123,9841.0,29249.0,E1730N3155,4356,2.0,0.15384615384615385,E1730N3155
124,7416.0,28275.0,E1730N3155,4356,2.0,0.15384615384615385,E1730N3155
125,33847.0,10501.0,,6765,,0.3,E1745N3135
126,33750.0,10411.0,,6765,,0.3,E1745N3135
127,34782.0,10695.0,,6765,,0.3,E1745N3135
128,35324.0,10717.0,,6765,,0.3,E1745N3135
129,34466.0,11030.0,,6765,,0.3,E1745N3135
130,34532.0,13612.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
131,34029.0,14217.0,E1745N3140,6765,2.0,0.07407407407407407,E1745N3140
132,37399.0,12667.0,,6765,,0.3,E1750N3140
133,39570.0,12959.0,E1750N3140,6765,2.0,0.3333333333333333,E1750N3140
134,39998.0,11855.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
135,40252.0,11311.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
136,37850.0,11403.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
137,37987.0,11270.0,E1750N3135,6765,2.0,0.04878048780487805,E1750N3135
138,34757.0,7242.0,,6765,,0.3,E1745N3130
139,34971.0,8125.0,,6765,,0.3,E1745N3135
140,28577.0,6056.0,,6765,,0.3,E1740N3130
141,22541.0,5756.0,,6765,,0.3,E1740N3130
142,1828.0,0.0,,6765,,0.3,E1725N3125
