Location ID;X;Y;Square;Population;Total Deliveries;Total Pickups
753;75319;28665;E1775N3155;6780;42493;33829
3343;36589;60425;E1750N3190;3446;14724;20905
1934;48959;42794;E1755N3170;2803;18600;20269
5820;98158;61912;E1790N3190;13760;115154;37481
4356;13591;30750;E1730N3155;1852;12917;9693
1739;34610;41049;E1745N3170;5656;20937;37586
7859;70101;64002;E1770N3195;5159;29813;20327
2155;88897;44412;E1785N3170;4242;17480;28231
5706;21384;61315;E1735N3190;4030;21856;31226
3513;30029;62343;E1745N3190;2858;11097;18877
4431;66641;48763;E1770N3175;4352;16475;35116
1204;98488;36059;E1790N3165;2852;8949;21512
718;88859;27856;E1785N3155;3047;9985;25017
657;130503;26682;E1815N3155;3439;17035;21978
4387;55134;39885;E1760N3165;4027;21328;22058
2075;15688;43812;E1735N3170;4518;23426;30609
931;92296;31377;E1785N3160;1953;6385;11735
417;92729;20245;E1785N3145;2808;9562;20937
284;96849;8765;E1790N3135;2213;9725;14717
6765;31727;7123;E1815N3155;374;1389;1550
3921;55859;76557;E1760N3205;1643;6265;11799
7229;77346;46242;E1775N3175;10276;59253;46497
4354;16694;48418;E1735N3175;2408;12156;17250
8282;35103;48521;E1745N3175;6101;26995;32602
2096;101802;43913;E1795N3170;1530;5195;12040
1176;89379;35705;E1785N3160;2984;10514;20757
7422;11011;52533;E1730N3180;186;1458;485
4987;67529;44080;E1770N3170;5682;21907;32378
5499;51393;53765;E1760N3180;3707;19970;21158
1258;40638;36647;E1750N3165;1379;3924;6433
4440;44786;44728;E1755N3170;5723;22661;43664
3155;55249;58005;E1760N3185;2732;12775;18296
1026;56978;33310;E1760N3160;1863;6308;10091
6908;15641;62479;E1735N3190;2496;11399;23321
1379;16515;38001;E1735N3165;5327;23420;39366
