Location ID;X;Y;Square;Population;Total Deliveries;Total Pickups
284;96849;8765;EN;0;0;0
417;92729;20245;EN;0;0;0
657;130503;26682;EN;0;0;0
718;88859;27856;EN;0;0;0
753;75319;28665;EN;0;0;0
931;92296;31377;EN;0;0;0
1258;40638;36647;EN;0;0;0
1379;16515;38001;EN;0;0;0
1739;34610;41049;EN;0;0;0
1934;48959;42794;EN;0;0;0
2096;101802;43913;EN;0;0;0
3343;36589;60425;EN;0;0;0
3513;30029;62343;EN;0;0;0
3921;55859;76557;EN;0;0;0
4354;16694;48418;EN;0;0;0
4356;13591;30750;EN;0;0;0
4387;55134;39885;EN;0;0;0
4431;66641;48763;EN;0;0;0
4440;44786;44728;EN;0;0;0
5499;51393;53765;EN;0;0;0
5706;21384;61315;EN;0;0;0
5820;98158;61912;EN;0;0;0
7229;77346;46242;EN;0;0;0
7859;70101;64002;EN;0;0;0
8282;35103;48521;EN;0;0;0
