Square;Population;Male;Female;Age0-14;Age15-24;Age25-44;Age45-64;Age65+;Households;Single-person households;Multi-person households w/o kids;Single parent households;Two-parent households;Houses;Home ownership %;Rental %;Social housing %;Vacant houses;Avg. home value;Urbanization index;Median household income;Percentage low income households;Percentage high income households;Distance nearest supermarket in km;X;Y
E1725N3160;;;;;;;;;;;;;;;;;;;;;;;;;3676,249942;33402,28
E1725N3170;175;95;80;15;30;15;70;45;70;10;30;;25;70;100;;;;409;4;60-80 above middle;;;1,5;3676,249942;42640,61
E1725N3180;;;;;;;;;;;;;;;;;;;;;;;;;3676,249942;51878,94
E1725N3185;;;;;;;;;;;;;;;;;;;;;;;;;3676,249942;56498,105
E1725N3190;;;;;;;;;;;;;;;;;;;;;;;;;3676,249942;61117,27
E1725N3195;;;;;;;;;;;;;;;;;;;;;;;;;3676,249942;65736,435
E1730N3150;;;;;;;;;;;;;;;;;;;;;;;;;10871,16661;24163,95
E1730N3155;;;;;;;;;;;;;;;;;;;;;;;;;10871,16661;28783,115
E1730N3160;435;200;230;45;30;75;120;160;220;75;85;20;40;215;20;80;80;;179;3;20-60 below middle to middle;53;7;0,5;10871,16661;33402,28
E1730N3165;1815;900;915;210;210;375;565;455;950;440;240;85;185;925;50;50;425;15;172;2;20-60 below middle to middle;51;11;0,6;10871,16661;38021,445
E1730N3170;1975;995;980;265;295;400;755;260;805;180;250;55;320;795;80;20;75;10;263;2;60-80 above middle;22;28;1,2;10871,16661;42640,61
E1730N3175;140;75;70;15;30;20;65;10;50;5;10;;30;40;100;;;;350;3;60-100 above middle to high;;;1,3;10871,16661;47259,775
E1730N3180;;;;;;;;;;;;;;;;;;;;4;;;;;10871,16661;51878,94
E1730N3185;90;40;45;10;10;15;40;10;40;10;20;;10;40;90;;;;275;3;40-80 middle to above middle;;;0,8;10871,16661;56498,105
E1730N3190;1050;505;545;170;85;265;260;270;450;125;160;35;125;440;40;60;240;10;203;3;20-40 below middle;49;7;0,7;10871,16661;61117,27
E1730N3200;;;;;;;;;;;;;;;;;;;;;;;;;10871,16661;70355,6
E1730N3205;;;;;;;;;;;;;;;;;;;;;;;;;10871,16661;74974,765
E1735N3145;;;;;;;;;;;;;;;;;;;;;;;;;18066,08328;19544,785
E1735N3150;;;;;;;;;;;;;;;;;;;;5;;;;;18066,08328;24163,95
E1735N3155;630;305;325;115;40;145;140;190;275;80;110;10;80;280;70;30;35;;258;4;40-80 middle to above middle;32;24;0,9;18066,08328;28783,115
E1735N3160;650;315;335;85;85;120;170;190;305;100;120;20;65;280;60;40;60;10;268;2;40-60 midden;40;14;0,5;18066,08328;33402,28
E1735N3165;1895;940;950;210;140;390;515;640;1035;485;315;75;155;1035;40;60;500;20;164;2;20-40 below middle;58;6;0,3;18066,08328;38021,445
E1735N3170;1480;715;765;170;205;340;425;335;805;375;205;80;135;765;50;50;285;20;165;2;20-60 below middle to middle;50;10;0,7;18066,08328;42640,61
E1735N3175;855;390;470;155;85;200;225;195;405;145;105;70;80;395;30;70;250;5;160;2;20-40 below middle;63;5;0,9;18066,08328;47259,775
E1735N3180;810;395;415;120;85;235;205;160;425;205;90;55;75;420;10;90;390;10;123;2;20-40 below middle;75;4;1;18066,08328;51878,94
E1735N3185;295;140;155;35;35;55;85;85;140;45;50;15;30;140;30;70;75;5;167;2;20-40 below middle;56;7;0,7;18066,08328;56498,105
E1735N3190;1860;860;1000;175;150;335;520;680;1045;515;305;80;140;1025;20;80;770;10;156;2;20-40 below middle;72;4;0,4;18066,08328;61117,27
E1735N3195;480;235;250;65;35;95;155;130;235;75;85;35;40;245;30;70;150;10;164;3;20-40 below middle;53;3;0,5;18066,08328;65736,435
E1735N3205;;;;;;;;;;;;;;;;;;;;;;;;;18066,08328;74974,765
E1740N3140;;;;;;;;;;;;;;;;;;;;;;;;;25260,99994;14925,62
E1740N3155;305;145;160;35;30;45;95;100;135;25;65;5;35;135;90;10;;;326;4;60-80 above middle;15;33;1,1;25260,99994;28783,115
E1740N3160;705;350;355;80;85;100;215;225;325;95;135;15;85;320;90;10;;20;479;3;60-80 above middle;13;44;1;25260,99994;33402,28
E1740N3165;845;435;410;95;90;170;280;205;375;100;155;10;110;380;90;10;25;10;241;2;40-80 middle to above middle;22;25;0,7;25260,99994;38021,445
E1740N3170;1355;630;725;130;210;300;315;405;765;355;255;40;105;705;80;20;;25;192;1;40-60 midden;36;10;0,4;25260,99994;42640,61
E1740N3175;835;395;440;95;105;195;220;225;450;205;145;25;75;420;50;40;125;10;206;1;40-60 midden;45;12;0,6;25260,99994;47259,775
E1740N3180;745;385;365;80;65;195;245;155;440;235;100;45;55;475;10;90;430;45;118;1;20-40 below middle;77;2;0,7;25260,99994;51878,94
E1740N3185;1595;790;805;240;230;395;420;305;840;410;175;115;135;840;10;80;690;35;140;1;20-40 below middle;72;2;0,7;25260,99994;56498,105
E1740N3190;1790;815;975;175;175;345;485;615;1000;510;250;75;160;1020;30;70;670;45;162;2;20-40 below middle;67;6;0,5;25260,99994;61117,27
E1740N3195;845;415;430;95;105;155;250;240;385;145;130;20;95;380;70;30;80;15;222;3;40-60 midden;33;21;0,6;25260,99994;65736,435
E1745N3140;;;;;;;;;;;;;;;;;;;;5;;;;;32455,91661;14925,62
E1745N3145;15;5;5;;;;5;;5;;;;;5;;;;;;5;;;;2,7;32455,91661;19544,785
E1745N3150;10;5;5;;;;5;;;;;;;;;;;;;5;;;;2,3;32455,91661;24163,95
E1745N3155;10;5;;;;;;;;;;;;;;;;;;4;;;;1,6;32455,91661;28783,115
E1745N3160;120;55;60;10;10;15;35;50;55;15;25;;15;55;90;10;;;604;3;80-100 high;;;1,3;32455,91661;33402,28
E1745N3165;1135;495;640;90;190;220;205;425;660;445;140;10;65;635;40;60;15;170;271;2;40-60 midden;51;18;1;32455,91661;38021,445
E1745N3170;3090;1365;1725;105;1745;750;290;200;2655;2370;170;30;85;495;50;50;170;85;240;1;20-60 below middle to middle;50;13;0,7;32455,91661;42640,61
E1745N3175;890;385;505;45;100;100;175;475;540;285;200;10;45;520;50;50;155;35;224;1;20-60 below middle to middle;56;9;0,3;32455,91661;47259,775
E1745N3180;1460;685;775;160;275;365;330;335;870;505;195;75;90;820;30;70;395;55;154;1;20-40 below middle;71;4;0,4;32455,91661;51878,94
E1745N3185;1255;580;670;165;120;245;335;390;715;390;165;70;85;710;10;90;585;25;149;2;20-40 below middle;77;2;0,3;32455,91661;56498,105
E1745N3190;1245;605;635;170;130;320;325;305;645;290;185;50;115;645;40;60;330;25;194;2;20-60 below middle to middle;52;10;0,5;32455,91661;61117,27
E1745N3195;125;65;60;15;15;20;40;35;50;10;15;;20;50;90;;;;355;3;60-80 above middle;;;0,8;32455,91661;65736,435
E1745N3200;45;25;20;5;15;10;15;;20;10;;;5;15;90;;;;208;5;20-60 below middle to middle;;;1,3;32455,91661;70355,6
E1745N3210;;;;;;;;;;;;;;;;;;;;5;;;;;32455,91661;79593,93
E1750N3135;;;;;;;;;;;;;;;;;;;;;;;;;39650,83327;10306,455
E1750N3140;;;;;;;;;;;;;;;;;;;;5;;;;;39650,83327;14925,62
E1750N3145;5;;;;;;;;;;;;;;;;;;;5;;;;2,4;39650,83327;19544,785
E1750N3150;15;10;;;;;5;5;10;10;;;;10;;;;;940;5;;;;2;39650,83327;24163,95
E1750N3155;;;;;;;;;;;;;;;;;;;;5;;;;;39650,83327;28783,115
E1750N3160;150;75;75;20;10;30;40;55;70;20;35;;15;65;90;;;;524;3;80-100 high;;;1,1;39650,83327;33402,28
E1750N3165;765;360;405;105;110;160;220;170;360;130;110;15;100;440;60;40;;105;340;2;60-80 above middle;33;37;0,6;39650,83327;38021,445
E1750N3170;2395;1135;1260;300;495;650;580;365;1470;885;260;170;140;1300;10;90;995;75;138;1;00-20 low;77;3;0,3;39650,83327;42640,61
E1750N3175;2685;1185;1500;185;930;680;390;500;1900;1370;330;70;115;1450;30;70;440;115;201;1;20-40 below middle;62;11;0,2;39650,83327;47259,775
E1750N3180;890;430;460;110;195;220;245;120;520;300;105;30;80;470;40;60;180;20;196;1;20-40 below middle;48;15;0,3;39650,83327;51878,94
E1750N3185;920;465;455;160;180;265;210;110;460;205;110;60;75;415;20;80;280;25;163;2;20-40 below middle;68;7;0,6;39650,83327;56498,105
E1750N3190;655;295;360;90;115;165;165;120;330;145;80;50;50;315;20;80;230;10;151;3;20-40 below middle;66;4;0,5;39650,83327;61117,27
E1750N3195;55;25;30;10;5;15;10;10;20;10;5;;5;20;80;;;;416;4;20-60 below middle to middle;;;0,8;39650,83327;65736,435
E1750N3200;;;;;;;;;;;;;;;;;;;;;;;;;39650,83327;70355,6
E1750N3205;15;5;10;;;;;5;5;;;;;5;;;;;500;5;;;;2,2;39650,83327;74974,765
E1750N3210;60;35;25;5;10;10;25;10;25;5;10;;10;30;80;30;;5;293;5;40-80 middle to above middle;;;2,1;39650,83327;79593,93
E1750N3215;;;;;;;;;;;;;;;;;;;;;;;;;39650,83327;84213,095
E1755N3135;;;;;;;;;;;;;;;;;;;;;;;;;46845,74994;10306,455
E1755N3155;80;40;40;10;10;10;25;25;45;20;10;5;5;45;30;70;30;;254;5;20-40 below middle;;;1,4;46845,74994;28783,115
E1755N3160;255;125;130;40;30;45;90;45;110;30;35;5;35;105;70;30;30;;436;4;40-60 midden;35;35;1;46845,74994;33402,28
E1755N3165;800;385;415;140;75;155;225;210;365;110;130;25;95;360;80;20;25;15;416;2;60-100 above middle to high;20;44;0,7;46845,74994;38021,445
E1755N3170;1200;545;660;75;295;240;230;365;765;495;165;40;60;665;30;70;215;60;260;1;20-40 below middle;58;16;0,4;46845,74994;42640,61
E1755N3175;2705;1245;1460;70;1140;695;300;500;1850;1460;275;30;65;1350;20;80;275;215;227;1;00-20 low;62;11;0,5;46845,74994;47259,775
E1755N3180;1290;625;665;65;320;370;300;240;830;585;150;40;55;685;20;80;410;30;212;1;20-40 below middle;70;6;0,6;46845,74994;51878,94
E1755N3185;5;;;;;;;;5;5;;;;;;;;;;2;;;;;46845,74994;56498,105
E1755N3190;15;10;;;;;;10;10;5;;;;20;40;60;;5;144;4;;;;1;46845,74994;61117,27
E1755N3195;20;10;10;;;;10;;15;10;5;;;;;;;;;5;00-40 laag tot onder midden;;;0,9;46845,74994;65736,435
E1755N3200;35;20;15;;10;15;;;30;25;;;;10;;;;;;5;00-40 laag tot onder midden;;;0,9;46845,74994;70355,6
E1755N3205;65;40;25;10;5;25;10;10;40;30;5;;5;20;70;30;;;208;5;00-40 laag tot onder midden;;;1,8;46845,74994;74974,765
E1755N3210;355;185;170;40;20;65;80;145;170;45;75;5;40;170;70;20;30;5;221;5;40-60 midden;40;13;4;46845,74994;79593,93
E1755N3215;;;;;;;;;;;;;;;;;;;;;;;;;46845,74994;84213,095
E1755N3220;;;;;;;;;;;;;;;;;;;;;;;;;46845,74994;88832,26
E1760N3130;;;;;;;;;;;;;;;;;;;;;;;;;54040,66661;5687,29
E1760N3135;;;;;;;;;;;;;;;;;;;;;;;;;54040,66661;10306,455
E1760N3140;;;;;;;;;;;;;;;;;;;;5;;;;;54040,66661;14925,62
E1760N3145;;;;;;;;;;;;;;;;;;;;;;;;;54040,66661;19544,785
E1760N3150;5;;;;;;;;;;;;;;;;;;;5;;;;1,7;54040,66661;24163,95
E1760N3155;;;;;;;;;;;;;;;;;;;;4;;;;;54040,66661;28783,115
E1760N3160;390;180;210;65;40;55;140;95;160;35;65;5;55;160;100;;;5;606;3;80-100 high;13;57;0,6;54040,66661;33402,28
E1760N3165;1570;725;845;205;285;305;415;360;810;390;235;30;150;725;70;30;20;60;419;2;60-80 above middle;27;38;0,3;54040,66661;38021,445
E1760N3170;1155;550;600;40;430;295;175;210;855;650;155;10;30;775;20;70;120;155;338;1;20-40 below middle;54;18;0,7;54040,66661;42640,61
E1760N3175;1885;855;1030;40;785;645;210;210;1395;1095;230;10;45;1295;20;80;75;325;260;1;00-20 low;59;14;0,3;54040,66661;47259,775
E1760N3180;2590;1230;1360;125;760;905;430;370;1915;1425;345;45;90;1765;20;80;635;185;216;1;20-40 below middle;62;10;0,4;54040,66661;51878,94
E1760N3185;385;195;190;;295;80;5;;375;370;;;;15;40;60;;5;274;2;00-20 low;;;0,9;54040,66661;56498,105
E1760N3190;1150;570;580;120;95;245;355;335;630;275;210;50;95;610;30;70;350;20;177;3;20-40 below middle;56;7;0,3;54040,66661;61117,27
E1760N3195;145;70;75;20;20;35;65;5;75;35;20;5;15;40;90;;;;230;4;20-60 below middle to middle;;;0,7;54040,66661;65736,435
E1760N3200;30;15;10;;;10;5;5;20;10;;;;15;;;;;97;5;00-40 laag tot onder midden;;;2,8;54040,66661;70355,6
E1760N3205;805;395;410;75;100;165;265;200;435;185;145;35;65;405;50;40;115;15;187;5;20-40 below middle;53;10;3,6;54040,66661;74974,765
E1760N3210;450;225;225;45;30;80;145;145;210;55;100;5;45;215;90;10;15;;206;5;40-60 midden;26;14;4,1;54040,66661;79593,93
E1765N3135;15;10;10;;;;10;;10;;5;;;10;;;;;398;5;;;;3;61235,58327;10306,455
E1765N3140;;;;;;;;;;;;;;;;;;;;5;;;;;61235,58327;14925,62
E1765N3145;;;;;;;;;;;;;;;;;;;;5;;;;;61235,58327;19544,785
E1765N3150;75;35;35;15;;15;25;20;35;10;15;;10;35;90;10;;;509;4;60-80 above middle;;;1,5;61235,58327;24163,95
E1765N3155;90;35;55;15;5;10;30;30;45;15;15;;10;45;80;10;;5;523;4;60-80 above middle;;;1,2;61235,58327;28783,115
E1765N3160;520;240;280;75;75;80;175;115;265;115;80;15;50;240;70;30;35;15;398;3;40-60 midden;35;31;0,6;61235,58327;33402,28
E1765N3165;965;460;505;150;110;140;245;320;435;190;145;15;85;450;80;20;10;45;514;2;60-80 above middle;25;37;0,4;61235,58327;38021,445
E1765N3170;450;210;240;35;95;110;95;115;290;185;75;10;20;300;30;70;95;55;425;1;20-60 below middle to middle;51;19;0,7;61235,58327;42640,61
E1765N3175;1615;720;895;30;715;525;180;170;1295;1030;205;20;25;1195;10;80;90;295;234;1;00-40 laag tot onder midden;60;9;0,2;61235,58327;47259,775
E1765N3180;765;375;390;25;200;265;125;150;580;430;105;15;20;515;20;80;110;65;200;1;20-40 below middle;63;12;0,4;61235,58327;51878,94
E1765N3185;35;20;15;;5;10;10;5;20;15;;;;20;;;;;169;2;00-40 laag tot onder midden;;;0,3;61235,58327;56498,105
E1765N3190;140;65;70;10;20;25;65;15;60;15;25;;15;65;100;;;;219;4;40-80 middle to above middle;;;0,6;61235,58327;61117,27
E1765N3195;5;;;;;;;;;;;;;;;;;;;4;;;;1,8;61235,58327;65736,435
E1765N3200;;;;;;;;;;;;;;;;;;;;;;;;;61235,58327;70355,6
E1765N3205;55;35;25;;15;20;15;5;35;20;10;;5;35;30;70;;;158;5;20-60 below middle to middle;;;3,8;61235,58327;74974,765
E1765N3210;;;;;;;;;;;;;;;;;;;;5;;;;;61235,58327;79593,93
E1765N3215;5;;;;;;;;;;;;;;;;;;;5;;;;;61235,58327;84213,095
E1770N3125;;;;;;;;;;;;;;;;;;;;5;;;;;68430,49994;1068,125
E1770N3145;340;150;190;40;25;80;110;85;180;85;55;20;20;170;40;60;90;;196;4;20-40 below middle;58;7;1,2;68430,49994;19544,785
E1770N3150;555;285;270;60;70;125;180;115;285;135;85;25;40;310;40;60;125;10;235;4;40-60 midden;48;19;0,6;68430,49994;24163,95
E1770N3155;705;335;370;50;100;160;170;225;425;225;145;15;40;430;40;60;145;25;239;3;20-60 below middle to middle;51;16;0,2;68430,49994;28783,115
E1770N3160;750;355;400;75;70;185;225;195;400;170;140;20;70;405;70;30;;20;257;2;60-80 above middle;29;24;0,6;68430,49994;33402,28
E1770N3165;235;125;105;25;80;70;40;15;140;85;30;;25;90;60;40;30;;307;1;40-60 midden;;;0,4;68430,49994;38021,445
E1770N3170;2785;1330;1455;170;275;690;540;1110;1760;945;625;50;135;1875;40;60;340;220;349;1;40-80 middle to above middle;34;20;0,5;68430,49994;42640,61
E1770N3175;2235;1020;1215;85;820;725;355;250;1690;1305;275;25;75;1365;20;80;320;195;252;1;20-40 below middle;59;14;0,3;68430,49994;47259,775
E1770N3180;1510;685;825;95;450;400;355;210;1045;740;185;50;70;860;10;80;515;60;192;1;00-40 laag tot onder midden;66;9;0,3;68430,49994;51878,94
E1770N3185;70;30;40;15;5;20;25;10;35;20;10;;5;35;;100;;;151;2;00-40 laag tot onder midden;;;0,4;68430,49994;56498,105
E1770N3190;305;160;150;40;65;85;70;50;175;100;40;5;30;130;70;30;5;;202;3;40-60 midden;33;18;0,8;68430,49994;61117,27
E1770N3195;545;295;250;45;140;110;140;110;335;210;70;15;40;270;30;70;130;10;155;4;20-40 below middle;62;4;1;68430,49994;65736,435
E1770N3200;;;;;;;;;;;;;;;;;;;;5;;;;;68430,49994;70355,6
E1770N3205;;;;;;;;;;;;;;;;;;;;5;;;;;68430,49994;74974,765
E1775N3125;;;;;;;;;;;;;;;;;;;;;;;;;75625,41661;1068,125
E1775N3130;;;;;;;;;;;;;;;;;;;;5;;;;;75625,41661;5687,29
E1775N3135;;;;;;;;;;;;;;;;;;;;5;;;;;75625,41661;10306,455
E1775N3140;95;40;55;5;10;25;40;15;25;5;10;;10;5;;;;;;5;00-40 laag tot onder midden;;;1,5;75625,41661;14925,62
E1775N3145;1000;490;510;85;145;205;405;155;350;130;95;20;105;355;60;40;125;5;282;4;40-60 midden;33;32;1,2;75625,41661;19544,785
E1775N3150;1210;550;660;145;180;285;325;275;585;270;150;55;110;580;40;60;245;10;196;2;20-60 below middle to middle;46;11;0,8;75625,41661;24163,95
E1775N3155;805;395;410;85;130;175;250;165;435;195;125;35;75;435;50;50;200;10;218;2;40-60 midden;40;17;0,5;75625,41661;28783,115
E1775N3160;845;420;425;80;160;260;250;95;530;325;110;35;55;510;40;60;145;45;185;2;20-60 below middle to middle;55;14;0,8;75625,41661;33402,28
E1775N3165;850;420;430;125;110;200;235;175;405;175;95;35;95;375;40;60;195;5;205;1;20-40 below middle;58;12;0,2;75625,41661;38021,445
E1775N3170;2275;1050;1225;170;480;620;465;545;1420;910;315;55;130;1355;30;70;355;165;194;1;20-40 below middle;55;10;0,5;75625,41661;42640,61
E1775N3175;1355;625;730;70;425;420;225;220;945;655;200;20;60;785;20;70;95;90;181;1;20-40 below middle;55;13;0,4;75625,41661;47259,775
E1775N3180;1325;650;675;140;180;365;365;280;800;480;155;75;90;795;10;90;585;75;145;1;20-40 below middle;73;3;0,4;75625,41661;51878,94
E1775N3185;1210;630;580;180;255;290;310;175;640;350;125;70;90;605;10;90;455;50;138;2;00-20 low;76;2;0,8;75625,41661;56498,105
E1775N3190;1225;620;605;105;285;380;280;180;790;510;160;50;65;675;20;80;335;30;129;3;20-40 below middle;74;3;0,5;75625,41661;61117,27
E1775N3195;955;405;550;95;370;160;215;115;375;170;95;50;55;330;20;80;240;10;156;3;20-40 below middle;59;6;1,2;75625,41661;65736,435
E1775N3200;20;15;10;;;5;5;;15;10;;;;15;40;60;5;5;125;4;00-40 laag tot onder midden;;;1,6;75625,41661;70355,6
E1775N3205;;;;;;;;;;;;;;5;;;;5;;5;;;;;75625,41661;74974,765
E1775N3210;;;;;;;;;;;;;;;;;;;;5;;;;;75625,41661;79593,93
E1775N3215;;;;;;;;;;;;;;;;;;;;5;;;;;75625,41661;84213,095
E1780N3125;;;;;;;;;;;;;;;;;;;;5;;;;;82820,33327;1068,125
E1780N3130;85;45;40;10;15;15;25;15;35;15;10;;10;30;90;;;;297;5;40-80 middle to above middle;;;0,3;82820,33327;5687,29
E1780N3135;35;15;20;5;;5;10;10;15;;5;;5;15;60;40;;;247;5;40-80 middle to above middle;;;0,5;82820,33327;10306,455
E1780N3140;145;70;75;25;20;30;55;15;55;15;15;;25;;;;;;;4;20-40 below middle;;;0,7;82820,33327;14925,62
E1780N3145;95;50;45;20;15;20;35;5;35;5;10;;20;25;90;;;;250;3;40-80 middle to above middle;;;1;82820,33327;19544,785
E1780N3150;405;205;200;55;45;125;115;60;210;95;60;15;45;210;60;40;40;;177;2;40-60 midden;48;12;0,8;82820,33327;24163,95
E1780N3155;290;150;140;15;85;80;60;55;215;165;25;10;10;225;10;90;185;10;103;2;00-40 laag tot onder midden;75;3;0,8;82820,33327;28783,115
E1780N3160;205;95;110;15;35;45;60;45;110;55;25;15;20;90;10;90;75;;180;2;20-40 below middle;;;1,2;82820,33327;33402,28
E1780N3165;140;80;60;10;30;75;15;10;110;95;10;;10;165;10;90;;145;;1;00-20 low;;;0,9;82820,33327;38021,445
E1780N3170;605;280;325;30;190;160;100;120;415;295;90;10;20;420;30;70;105;40;193;1;20-40 below middle;50;9;0,7;82820,33327;42640,61
E1780N3175;2155;980;1175;255;550;560;480;315;1255;735;285;40;185;970;50;40;120;50;228;1;20-40 below middle;43;20;0,5;82820,33327;47259,775
E1780N3180;2305;1130;1175;345;340;515;710;395;1140;515;270;120;225;1075;20;80;775;35;168;2;20-40 below middle;65;5;0,5;82820,33327;51878,94
E1780N3185;130;75;55;10;15;50;35;20;85;45;15;15;5;85;;100;80;5;111;2;00-40 laag tot onder midden;;;0,6;82820,33327;56498,105
E1780N3190;945;470;475;115;135;230;250;215;550;300;125;65;60;525;10;90;405;20;141;2;20-40 below middle;77;2;0,3;82820,33327;61117,27
E1780N3195;675;335;340;150;50;175;185;115;315;120;75;50;70;360;10;90;300;55;138;3;20-40 below middle;65;2;0,4;82820,33327;65736,435
E1780N3200;15;5;5;;;;5;;5;;;;;5;;;;;239;4;;;;1,2;82820,33327;70355,6
E1780N3205;;;;;;;;;;;;;;;;;;;;5;;;;1,5;82820,33327;74974,765
E1780N3210;;;;;;;;;;;;;;;;;;;;5;;;;;82820,33327;79593,93
E1780N3215;;;;;;;;;;;;;;;;;;;;5;;;;;82820,33327;84213,095
E1780N3220;10;;;;;;;;5;;;;;;;;;;;5;;;;1,6;82820,33327;88832,26
E1785N3125;125;60;65;20;15;45;40;5;55;10;15;10;20;55;80;20;;;218;5;40-80 middle to above middle;;;1;90015,24994;1068,125
E1785N3130;320;165;160;50;35;75;110;50;135;30;50;10;45;130;80;20;;;218;5;40-80 middle to above middle;28;21;0,7;90015,24994;5687,29
E1785N3135;;;;;;;;;;;;;;;;;;;;4;;;;;90015,24994;10306,455
E1785N3140;10;5;5;;;;;5;5;;5;;;5;;;;;;4;;;;1,2;90015,24994;14925,62
E1785N3145;1600;810;790;210;215;410;520;245;760;285;250;35;190;755;70;30;200;20;214;3;40-60 midden;34;18;0,8;90015,24994;19544,785
E1785N3150;2380;1180;1200;310;270;725;690;385;1290;630;335;100;220;1265;50;50;545;30;156;2;20-40 below middle;52;7;0,5;90015,24994;24163,95
E1785N3155;1865;920;945;250;195;475;575;370;915;355;270;85;205;890;40;60;395;10;177;2;20-60 below middle to middle;47;11;0,7;90015,24994;28783,115
E1785N3160;1265;625;640;185;175;325;370;210;585;200;200;30;155;580;60;40;110;20;246;2;40-60 midden;32;22;1;90015,24994;33402,28
E1785N3165;1425;670;755;150;280;380;395;220;805;430;205;40;125;690;50;50;200;40;202;2;20-40 below middle;52;15;0,6;90015,24994;38021,445
E1785N3170;2030;955;1075;210;415;565;495;335;1220;725;275;60;155;1015;50;50;170;55;201;1;20-40 below middle;51;13;0,3;90015,24994;42640,61
