Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y
E1725N3160,2,,,,,,,,,,,,,,,,,,,,,,,,"3676,249942","33402,28"
E1725N3170,175,95.0,80.0,15.0,30.0,15.0,70.0,45.0,70.0,10.0,30.0,,25.0,70.0,100.0,,,,409.0,4.0,60-80 above middle,,,"1,5","3676,249942","42640,61"
E1725N3180,2,,,,,,,,,,,,,,,,,,,,,,,,"3676,249942","51878,94"
E1725N3185,2,,,,,,,,,,,,,,,,,,,,,,,,"3676,249942","56498,105"
E1725N3190,2,,,,,,,,,,,,,,,,,,,,,,,,"3676,249942","61117,27"
E1725N3195,2,,,,,,,,,,,,,,,,,,,,,,,,"3676,249942","65736,435"
E1730N3150,2,,,,,,,,,,,,,,,,,,,,,,,,"10871,16661","24163,95"
E1730N3155,2,,,,,,,,,,,,,,,,,,,,,,,,"10871,16661","28783,115"
E1730N3160,435,200.0,230.0,45.0,30.0,75.0,120.0,160.0,220.0,75.0,85.0,20.0,40.0,215.0,20.0,80.0,80.0,,179.0,3.0,20-60 below middle to middle,53.0,7.0,"0,5","10871,16661","33402,28"
E1730N3165,1815,900.0,915.0,210.0,210.0,375.0,565.0,455.0,950.0,440.0,240.0,85.0,185.0,925.0,50.0,50.0,425.0,15.0,172.0,2.0,20-60 below middle to middle,51.0,11.0,"0,6","10871,16661","38021,445"
E1730N3170,1975,995.0,980.0,265.0,295.0,400.0,755.0,260.0,805.0,180.0,250.0,55.0,320.0,795.0,80.0,20.0,75.0,10.0,263.0,2.0,60-80 above middle,22.0,28.0,"1,2","10871,16661","42640,61"
E1730N3175,140,75.0,70.0,15.0,30.0,20.0,65.0,10.0,50.0,5.0,10.0,,30.0,40.0,100.0,,,,350.0,3.0,60-100 above middle to high,,,"1,3","10871,16661","47259,775"
E1730N3180,2,,,,,,,,,,,,,,,,,,,4.0,,,,,"10871,16661","51878,94"
